2018-01-14 14:53:51 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:53:51 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:53:51 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:59:42 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 14:59:42 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:01:15 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:01:15 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:01:31 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:01:31 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:03:59 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 15:03:59 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:04:07 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:04:07 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:04:48 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:04:48 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:06:36 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 15:06:36 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:06:53 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:06:54 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:07:33 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 15:07:33 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:07:37 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:07:37 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:08:00 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:08:00 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:12:05 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:12:05 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:12:05 INFO  [main] client.View: 9
2018-01-14 15:14:03 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:14:03 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:14:03 INFO  [main] client.View: 9
2018-01-14 15:14:23 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 15:14:23 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:14:23 INFO  [main] client.View: 9
2018-01-14 15:14:23 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:14:23 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:14:24 INFO  [main] client.View: 9
2018-01-14 15:14:24 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:14:24 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:14:24 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:14:24 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:14:24 INFO  [main] client.View: 9
2018-01-14 15:15:57 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 15:15:57 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:15:57 INFO  [main] client.View: 9
2018-01-14 15:15:57 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 15:15:57 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 15:15:57 INFO  [main] client.View: 9
